split_seed,dataset_id,model_id,alpha,outcome,candidate_count,safe_count,rejected_count,failed_count,v_cert,v_amb,coverage_rate,oracle_candidate,oracle_mean_total_ms,reference_candidate,reference_cryptographic_security_admitted,reference_execution_status,reference_decision_certificate_status,reference_latency_role,reference_mean_total_ms,oracle_speedup_vs_reference,latency_only_candidate,latency_only_status,latency_only_mean_total_ms,v2_oracle_candidate,v2_oracle_mean_total_ms,pre_security_v2_oracle_candidate,selection_changed
0,wdbc,linear_poly3,0.9,SELECTED,14,4,8,2,84,1,0.9882352941176471,deep_chain_8_scale45__rescale_aware,562.2069711765,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,562.2069711765,1.0,short_chain_3__baseline_non_rescale,REJECTED,139.9071384,deep_chain_8_scale45__rescale_aware,562.2069711765,default__rescale_aware,true
0,wdbc,mlp_square_linear_score,0.1,SELECTED,14,10,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,895.9054903765,3.334170796971717,short_chain_3__rescale_aware,REJECTED,133.7301593059,short_chain_6_scale42__baseline_non_rescale,268.7041381294,short_chain_6_scale42__baseline_non_rescale,false
0,wdbc,mlp_square_linear_score,0.25,SELECTED,14,10,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,895.9054903765,3.334170796971717,short_chain_3__rescale_aware,REJECTED,133.7301593059,short_chain_6_scale42__baseline_non_rescale,268.7041381294,short_chain_6_scale42__baseline_non_rescale,false
0,wdbc,mlp_square_linear_score,0.5,SELECTED,14,10,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,895.9054903765,3.334170796971717,short_chain_3__rescale_aware,REJECTED,133.7301593059,short_chain_6_scale42__baseline_non_rescale,268.7041381294,short_chain_6_scale42__baseline_non_rescale,false
0,wdbc,mlp_square_linear_score,0.75,SELECTED,14,10,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,895.9054903765,3.334170796971717,short_chain_3__rescale_aware,REJECTED,133.7301593059,short_chain_6_scale42__baseline_non_rescale,268.7041381294,short_chain_6_scale42__baseline_non_rescale,false
0,wdbc,mlp_square_linear_score,0.9,SELECTED,14,10,4,0,83,2,0.9764705882352941,short_chain_6_scale42__baseline_non_rescale,268.7041381294,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,895.9054903765,3.334170796971717,short_chain_3__rescale_aware,REJECTED,133.7301593059,short_chain_6_scale42__baseline_non_rescale,268.7041381294,short_chain_6_scale42__baseline_non_rescale,false
1,banknote,linear_poly3,0.1,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,409.2303415512,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,409.2303415512,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976,deep_chain_8_scale45__rescale_aware,409.2303415512,default__rescale_aware,true
1,banknote,linear_poly3,0.25,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,409.2303415512,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,409.2303415512,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976,deep_chain_8_scale45__rescale_aware,409.2303415512,default__rescale_aware,true
1,banknote,linear_poly3,0.5,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,409.2303415512,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,409.2303415512,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976,deep_chain_8_scale45__rescale_aware,409.2303415512,default__rescale_aware,true
1,banknote,linear_poly3,0.75,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,409.2303415512,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,409.2303415512,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976,deep_chain_8_scale45__rescale_aware,409.2303415512,default__rescale_aware,true
1,banknote,linear_poly3,0.9,SELECTED,14,4,8,2,205,0,1.0,deep_chain_8_scale45__rescale_aware,409.2303415512,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,409.2303415512,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976,deep_chain_8_scale45__rescale_aware,409.2303415512,default__rescale_aware,true
1,banknote,mlp_square_linear_score,0.1,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,566.2622970878,2.9419986070076907,short_chain_3__rescale_aware,REJECTED,84.426547278,short_chain_6_scale38__baseline_non_rescale,192.4753790634,short_chain_6_scale38__baseline_non_rescale,false
1,banknote,mlp_square_linear_score,0.25,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,566.2622970878,2.9419986070076907,short_chain_3__rescale_aware,REJECTED,84.426547278,short_chain_6_scale38__baseline_non_rescale,192.4753790634,short_chain_6_scale38__baseline_non_rescale,false
1,banknote,mlp_square_linear_score,0.5,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,566.2622970878,2.9419986070076907,short_chain_3__rescale_aware,REJECTED,84.426547278,short_chain_6_scale38__baseline_non_rescale,192.4753790634,short_chain_6_scale38__baseline_non_rescale,false
1,banknote,mlp_square_linear_score,0.75,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,566.2622970878,2.9419986070076907,short_chain_3__rescale_aware,REJECTED,84.426547278,short_chain_6_scale38__baseline_non_rescale,192.4753790634,short_chain_6_scale38__baseline_non_rescale,false
1,banknote,mlp_square_linear_score,0.9,SELECTED,14,10,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,566.2622970878,2.9419986070076907,short_chain_3__rescale_aware,REJECTED,84.426547278,short_chain_6_scale38__baseline_non_rescale,192.4753790634,short_chain_6_scale38__baseline_non_rescale,false
1,digits_binary,linear_poly3,0.1,SELECTED,14,4,8,2,266,4,0.9851851851851852,deep_chain_8_scale45__rescale_aware,628.6061529889,deep_chain_8_scale45__rescale_aware,true,ok,SAFE,DECISION_PRESERVING_REFERENCE,628.6061529889,1.0,short_chain_3__baseline_non_rescale,REJECTED,141.3164327667,deep_chain_8_scale45__rescale_aware,628.6061529889,default__rescale_aware,true
