split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,validation_status,audit_status,status_transition,key_repeats,v_cert,v_amb,successful_key_runs,expected_parameter_failures,unexpected_execution_failures,decision_flips_v_cert,error_violations_v_cert,max_error_v_cert,max_budget_usage_v_cert,mean_total_ms_across_keys
1,wdbc,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,84,2,3,0,0,162,249,0.513306339005,770.650317458,173.717212756
1,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,84,2,3,0,0,162,249,0.513306339005,770.650317458,137.646487012
2,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,294,621,0.619413147824,233.904747155,98.6005074605
2,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,207,0,0,3,0,0,0,,,
2,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.604999101771,64.7278118919,127.214433712
2,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.604999101771,64.7278118919,95.5114270322
2,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,267,3,3,0,0,387,801,0.615980517333,914.76988617,136.327714863
2,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,267,3,0,3,0,0,0,,,
2,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,256,14,3,0,0,369,768,0.539553921959,966.837040744,169.270207509
2,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,256,14,3,0,0,369,768,0.539553921959,966.837040744,139.043382763
2,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.69387790673,17.3499379812,107.065961313
2,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,16,0,0,3,0,0,0,,,
2,iris_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.645123384586,14.3163093422,132.089765146
2,iris_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,16,0,3,0,0,24,48,0.645123384586,14.3163093422,109.300393417
2,mnist_pool16,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,245,6,3,0,0,321,735,0.635135505181,795.932340332,209.756868866
2,mnist_pool16,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,245,6,0,3,0,0,0,,,
2,mnist_pool16,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,247,4,3,0,0,360,741,0.624106540799,957.378554483,251.687555113
2,mnist_pool16,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,247,4,3,0,0,360,741,0.624106540799,957.378554483,218.675924724
2,wdbc,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,85,1,3,0,0,165,255,0.578335227105,685.234426473,136.420022403
2,wdbc,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,85,1,0,3,0,0,0,,,
2,wdbc,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,83,3,3,0,0,162,249,0.518291078229,717.175284553,171.64207688
2,wdbc,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,83,3,3,0,0,162,249,0.518291078229,717.175284553,138.151379019
3,banknote,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,294,621,0.619413147824,233.904747155,98.0923707665
3,banknote,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,FAILED,FAILED,FAILED->FAILED,3,207,0,0,3,0,0,0,,,
3,banknote,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.605303696805,79.8367238415,138.347451375
3,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,REJECTED,REJECTED,REJECTED->REJECTED,3,207,0,3,0,0,276,621,0.605303696805,79.8367238415,95.0810132786
