timestamp,dataset,model,profile,path,repeat,tag,status,exit_code,summary_path,log_path,plain_accuracy,ckks_accuracy,decision_flips,score_error_violations,max_y_error,mean_eval_only_ms,mean_total_eval_ms,accepted
2026-06-25T15:44:26+09:00,wdbc,linear_poly3,scale40,rescale_aware,3,tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_rescale_aware_r3.log,0.9649122807,0.9649122807,0,0,0.0000000002,51.3817554327,193.0580056901,true
2026-06-25T15:44:59+09:00,wdbc,linear_poly3,scale40,baseline_non_rescale,1,tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r1.log,0.9649122807,0.9649122807,0,0,0.0000000003,51.6695211287,207.6461430526,true
2026-06-25T15:45:35+09:00,wdbc,linear_poly3,scale40,baseline_non_rescale,2,tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r2.log,0.9649122807,0.9649122807,0,0,0.0000000003,51.8151035906,207.4560209474,true
2026-06-25T15:46:10+09:00,wdbc,linear_poly3,scale40,baseline_non_rescale,3,tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale40_baseline_non_rescale_r3.log,0.9649122807,0.9649122807,0,0,0.0000000001,52.7987269883,211.2484289298,true
2026-06-25T15:46:47+09:00,wdbc,linear_poly3,scale38,rescale_aware,1,tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r1.log,0.9649122807,0.9649122807,0,0,0.0000000004,57.6857068187,214.2919070117,true
2026-06-25T15:47:23+09:00,wdbc,linear_poly3,scale38,rescale_aware,2,tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r2.log,0.9649122807,0.9649122807,0,0,0.0000000010,57.6055196667,214.7499730292,true
2026-06-25T15:48:00+09:00,wdbc,linear_poly3,scale38,rescale_aware,3,tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale38_rescale_aware_r3.log,0.9649122807,0.9649122807,0,0,0.0000000001,57.7761575614,214.4600426491,true
2026-06-25T15:48:37+09:00,wdbc,linear_poly3,scale38,baseline_non_rescale,1,tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r1,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r1/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r1.log,0.9649122807,0.9649122807,0,0,0.0000000004,57.1939680643,227.2427573392,true
2026-06-25T15:49:16+09:00,wdbc,linear_poly3,scale38,baseline_non_rescale,2,tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r2,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r2/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r2.log,0.9649122807,0.9649122807,0,0,0.0000000007,56.6955140058,226.7542528889,true
2026-06-25T15:49:55+09:00,wdbc,linear_poly3,scale38,baseline_non_rescale,3,tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r3,ok,0,results/ckks_tabular_inference/tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r3/summary.csv,results/ckks_tabular_profile_sweep_repeated/logs/tabular_sweep_wdbc_linear_poly3_scale38_baseline_non_rescale_r3.log,0.9649122807,0.9649122807,0,0,0.0000000005,57.5393888480,227.3853110000,true
