dataset_id,model_id,profile,path,requested_runs,ok_runs,failed_runs,accepted_runs,strict_safe,mean_eval_only_ms,std_eval_only_ms,mean_total_ms,std_total_ms,max_decision_flips,sum_decision_flips,max_score_error_violations,sum_score_error_violations,max_y_error
banknote,mlp_square_linear_score,short_chain_6_scale42,rescale_aware,3,3,0,3,true,95.8967898803,0.1300632776,176.8328584312,0.1146898661,0,0,0,0,0.0000000002
digits_binary,linear_poly3,deep_chain_8_scale45,baseline_non_rescale,3,3,0,3,true,117.5471579580,0.1452601100,470.8488968185,0.2676203846,0,0,0,0,0.0000000000
digits_binary,linear_poly3,deep_chain_8_scale45,rescale_aware,3,3,0,3,true,115.6599319877,0.4021210941,445.8588329037,0.4331738739,0,0,0,0,0.0000000000
digits_binary,linear_poly3,deep_chain_9_scale45,baseline_non_rescale,3,3,0,3,true,144.2641448358,0.2203010509,536.3641165482,0.1734061253,0,0,0,0,0.0000000000
digits_binary,linear_poly3,deep_chain_9_scale45,rescale_aware,3,3,0,3,true,150.7965210352,0.1257449277,518.0277512574,0.7515861645,0,0,0,0,0.0000000000
digits_binary,linear_poly3,default,baseline_non_rescale,3,3,0,3,true,50.4406369969,0.1295550443,203.0693938950,0.5575171815,0,0,0,0,0.0000000000
digits_binary,linear_poly3,default,rescale_aware,3,3,0,3,true,45.3207449333,0.1253597541,176.2998483463,0.3984894364,0,0,0,0,0.0000002080
digits_binary,linear_poly3,scale38,baseline_non_rescale,3,3,0,3,true,50.4570578945,0.1655541911,203.1594857155,0.1622257452,0,0,0,0,0.0000000008
digits_binary,linear_poly3,scale38,rescale_aware,3,3,0,3,true,50.9057982673,0.2152413014,191.7291448938,0.4168154522,0,0,0,0,0.0000000013
digits_binary,linear_poly3,scale40,baseline_non_rescale,3,3,0,3,true,50.2274971518,0.1172791893,202.3647281395,0.2795926579,0,0,0,0,0.0000000002
digits_binary,linear_poly3,scale40,rescale_aware,3,3,0,3,true,50.7374451142,0.1434154670,191.0811273951,0.1674987664,0,0,0,0,0.0000000002
