split_seed,dataset_id,model_id,alpha,selection_metric,oracle_outcome,planner_outcome,oracle_candidate,planner_candidate,oracle_mean_total_ms,planner_mean_total_ms,oracle_candidate_count,planner_candidate_count,oracle_safe_count,planner_safe_count,oracle_rejected_count,planner_rejected_count,oracle_failed_count,planner_failed_count,safe_recall_defined,safe_recall,optimum_recall_defined,optimum_recall,latency_regret_defined,latency_regret,pruning_ratio,false_no_safe,planning_overhead_us
1,iris_binary,linear_poly3,0.9,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,348.548554286,348.548554286,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,2699.907
1,iris_binary,mlp_square_linear_score,0.1,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,190.761249,194.705581357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0206768008585,0.428571428571,false,72.376
1,iris_binary,mlp_square_linear_score,0.25,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,190.761249,194.705581357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0206768008585,0.428571428571,false,77.525
1,iris_binary,mlp_square_linear_score,0.5,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,190.761249,194.705581357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0206768008585,0.428571428571,false,72.957
1,iris_binary,mlp_square_linear_score,0.75,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,190.761249,194.705581357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0206768008585,0.428571428571,false,65.633
1,iris_binary,mlp_square_linear_score,0.9,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale40__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,190.761249,194.705581357,14,8,10,4,4,4,0,0,true,0.4,true,0,true,0.0206768008585,0.428571428571,false,64.832
1,mnist_pool16,linear_poly3,0.1,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,805.681179695,805.681179695,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,61.896
1,mnist_pool16,linear_poly3,0.25,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,805.681179695,805.681179695,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,59.342
1,mnist_pool16,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,805.681179695,805.681179695,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,69.18
1,mnist_pool16,linear_poly3,0.75,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,805.681179695,805.681179695,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,61.626
1,mnist_pool16,linear_poly3,0.9,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,805.681179695,805.681179695,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,58.951
1,mnist_pool16,mlp_square_linear_score,0.1,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,384.11764492,384.11764492,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,63.008
1,mnist_pool16,mlp_square_linear_score,0.25,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,384.11764492,384.11764492,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,136.456
1,mnist_pool16,mlp_square_linear_score,0.5,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,384.11764492,384.11764492,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,89.447
1,mnist_pool16,mlp_square_linear_score,0.75,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,384.11764492,384.11764492,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,83.477
1,mnist_pool16,mlp_square_linear_score,0.9,mean_total_ms,SELECTED,SELECTED,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38__baseline_non_rescale,384.11764492,384.11764492,14,8,10,4,4,4,0,0,true,0.4,true,1,true,0,0.428571428571,false,151.044
1,wdbc,linear_poly3,0.1,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,499.062327906,499.062327906,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,69.511
1,wdbc,linear_poly3,0.25,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,499.062327906,499.062327906,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,65.032
1,wdbc,linear_poly3,0.5,mean_total_ms,SELECTED,SELECTED,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45__rescale_aware,499.062327906,499.062327906,14,6,4,2,8,3,2,1,true,0.5,true,1,true,0,0.571428571429,false,75.852
