split_seed,dataset_id,model_id,workload_id,id,role,candidate_id,profile_name,evaluation_mode,log_n,log_q,log_p,log_default_scale,setup_ms,arm_id,observations,decision_flips,max_y_error,mean_total_ms,median_total_ms,p95_total_ms,stddev_total_ms,iqr_total_ms,mean_eval_only_ms,median_eval_only_ms,p95_eval_only_ms,stddev_eval_only_ms,iqr_eval_only_ms
1,mnist_pool16,mlp_square_linear_score,split_seed_1/mnist_pool16/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_50bd4edef1ef,synth_analysis_minimum_rescale_N13_Q6_S20_50bd4edef1ef,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,51.960868,direct,36,0,8.426682564111054e-05,234.7302287777778,227.077478,301.223102,30.003343294736073,36.67036200000001,97.65667397222221,92.8604,133.041261,14.878243126708936,13.577895999999996
1,mnist_pool16,mlp_square_linear_score,split_seed_1/mnist_pool16/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",38,95.100294,catalog,36,0,2.7388447065845867e-10,440.1833963888889,438.802063,505.619301,32.19752690029898,47.39002399999998,143.70435230555563,138.226847,177.79670099999998,17.255417783346044,27.59644899999998
1,mnist_pool16,mlp_square_linear_score,split_seed_1/mnist_pool16/mlp_square_linear_score,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,394.643288,reference,36,0,1.17957865697349e-11,1280.3899515277776,1271.883835,1421.226235,62.77871245982088,79.81882699999983,520.4415286666667,518.573946,594.7187530000001,37.555850493919316,48.92573100000004
1,wdbc,linear_poly3,split_seed_1/wdbc/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_33a9db1442a2,synth_repair_scale_1_rescale_N13_Q7_S24_33a9db1442a2,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,50.846547,direct,36,0,0.004927081029940772,119.79439697222223,119.25043,146.976356,16.794970016292154,26.520761000000007,34.49465122222223,33.483657,43.973092,5.58482198353718,7.201270000000001
1,wdbc,linear_poly3,split_seed_1/wdbc/linear_poly3,catalog,bounded_catalog_oracle,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,307.607474,catalog,36,0,5.779043910081327e-12,596.5423980833333,593.005219,675.784239,54.884634240538205,63.11494400000004,159.08864322222217,152.337889,205.907324,22.7255512224815,33.661756
1,wdbc,linear_poly3,split_seed_1/wdbc/linear_poly3,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,309.999603,reference,36,0,7.39175387565183e-12,621.0683249444443,589.386526,819.984065,117.75701502775331,99.5634,163.23671463888894,149.678057,207.91089899999997,44.18969855066624,30.04613500000002
1,wdbc,mlp_square_linear_score,split_seed_1/wdbc/mlp_square_linear_score,direct,direct_synthesis,synth_analysis_minimum_rescale_N13_Q6_S20_c1382206c90a,synth_analysis_minimum_rescale_N13_Q6_S20_c1382206c90a,rescale,13,"[23, 20, 20, 20, 20, 20]",[30],20,49.385238,direct,36,0,0.00018831547944092586,191.05743319444446,185.914605,242.528268,30.3328953595193,48.161743,98.28619969444445,95.70852,129.064752,18.091030866410588,22.460418999999987
1,wdbc,mlp_square_linear_score,split_seed_1/wdbc/mlp_square_linear_score,catalog,bounded_catalog_oracle,short_chain_6_scale38__baseline_non_rescale,short_chain_6_scale38,naive,14,"[56, 46, 46, 46, 45, 45]","[56, 55]",38,64.503925,catalog,36,0,9.833550085325271e-10,370.33611433333334,368.578184,465.573684,46.22070062314359,49.44000699999998,150.05051866666662,144.283398,194.149437,26.122391379322384,28.19949600000001
1,wdbc,mlp_square_linear_score,split_seed_1/wdbc/mlp_square_linear_score,reference,ckks_reference,deep_chain_8_scale45__rescale_aware,deep_chain_8_scale45,rescale,15,"[56, 46, 46, 46, 45, 45, 46, 45]","[56, 55]",45,380.603706,reference,36,0,1.6110390799184415e-11,1057.5281323333331,1060.648797,1272.111807,124.80744778070826,159.29780599999992,529.2359708611111,516.429136,698.380644,82.70437158958502,81.03769299999993
2,banknote,linear_poly3,split_seed_2/banknote/linear_poly3,direct,direct_synthesis,synth_repair_scale_1_rescale_N13_Q7_S24_61531b023e5c,synth_repair_scale_1_rescale_N13_Q7_S24_61531b023e5c,rescale,13,"[27, 24, 24, 24, 24, 24, 24]",[30],24,121.972413,direct,36,0,0.005722912659087309,89.3301793888889,83.995089,121.500864,15.260410123846354,21.903138999999996,34.64721091666665,32.116642,48.350632,7.78720202552097,9.505437999999998
