keyset,pass,row_id,order_index,order_position,arm,candidate_id,plaintext,decrypted,absolute_error,decision_flip,reserve_violation,encrypt_ms,evaluate_ms,decrypt_ms,total_ms,runtime,workload,portability,security_state,latency_state
1,1,555,6,1,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.5086135545617281,0.5083494251512118,0.00026412941051623395,False,False,26.801551,24.548382999999998,10.98391,62.338673,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,555,6,2,heir_generated,heir_generated_lattigo_v8,0.5086135545617281,0.5086135268211365,2.7740591601599363e-08,False,False,24.969393,20.402083,0.447289,45.819687,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,555,6,3,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.5086135545617281,0.5086135545704056,8.677503160470224e-12,False,False,101.417893,111.931351,74.539248,287.894042,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,560,1,1,heir_generated,heir_generated_lattigo_v8,0.22678612248310498,0.22678610682487488,1.5658230101411874e-08,False,False,24.071459,18.992117,0.423154,43.487862,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,560,1,2,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.22678612248310498,0.2387277807968577,0.011941658313752712,False,False,19.696169,29.411167,12.10274,61.213562,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,560,1,3,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.22678612248310498,0.22678612242573226,5.737271768779806e-11,False,False,107.693008,125.714561,80.537047,313.950416,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,565,2,1,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.23006435409086629,0.24195156753117167,0.011887213440305383,False,False,20.999855,26.507929999999998,15.008763,62.519874,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,565,2,2,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.23006435409086629,0.23006435410044362,9.577338921928913e-12,False,False,104.393577,140.834044,83.192354,328.424694,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,565,2,3,heir_generated,heir_generated_lattigo_v8,0.23006435409086629,0.23006434738636017,6.704506116950171e-09,False,False,26.564146,22.058502,0.549992,49.173561,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,570,3,1,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.5957048658150786,0.5957048657878786,2.7200020014106485e-11,False,False,108.031062,122.190423,79.831577,310.05781,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,570,3,2,heir_generated,heir_generated_lattigo_v8,0.5957048658150786,0.5957048535346985,1.2280380157214665e-08,False,False,31.193753,22.117612,0.455976,53.768132,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,570,3,3,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.5957048658150786,0.5915797842553321,0.004125081559746557,False,False,24.418731,52.665171,10.728943,87.817125,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,575,4,1,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.22363294148377885,0.2236329414181771,6.560174625747095e-11,False,False,104.148887,128.660862,78.801179,311.615468,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,575,4,2,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.22363294148377885,0.23582067365688883,0.012187732173109977,False,False,19.368624,23.04885,10.758167,53.178436,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,575,4,3,heir_generated,heir_generated_lattigo_v8,0.22363294148377885,0.22363293170928955,9.774489301284106e-09,False,False,23.611896,18.763599,0.444604,42.82108,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,580,5,1,heir_generated,heir_generated_lattigo_v8,0.24199946750108145,0.24199946224689484,5.254186613568024e-09,False,False,23.34252,18.298927,0.57553,42.217719,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,580,5,2,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.24199946750108145,0.24199946751062767,9.546224921663793e-12,False,False,95.513363,125.630561,91.730907,312.878677,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,580,5,3,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.24199946750108145,0.25341349398478846,0.011414026483707013,False,False,23.249275,24.682346,10.711198,58.646467,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,585,6,1,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.3652576858977358,0.37123210372743887,0.005974417829703094,False,False,22.502494,25.186979,14.708399,62.402281,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,585,6,2,heir_generated,heir_generated_lattigo_v8,0.3652576858977358,0.3652576804161072,5.481628595482846e-09,False,False,30.868903,23.858979,0.693992,55.422807,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,585,6,3,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.3652576858977358,0.36525768591731944,1.9583668020572986e-11,False,False,115.388959,113.326829,80.716178,309.435924,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,590,1,1,heir_generated,heir_generated_lattigo_v8,0.22770951245814844,0.22770950198173523,1.0476413209170587e-08,False,False,25.962747,20.451476,0.492834,46.907979,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,590,1,2,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.22770951245814844,0.2397164075695695,0.012006895111421056,False,False,23.094084,25.135375,11.827424,60.06086,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,590,1,3,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.22770951245814844,0.22770951245262233,5.526107349496101e-12,False,False,102.00806,115.14737500000001,76.285344,293.445669,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,595,2,1,flipguard_direct,provider_direct_synthesizer_ab7d6d8fcdf10d4e,0.22225984584343159,0.2345851871722816,0.01232534132885002,False,False,20.087152,29.074856999999998,11.281048,60.446845,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,595,2,2,bounded_catalog,provider_bounded_catalog_3aaf661a70fb4fde,0.22225984584343159,0.2222598458541489,1.0717315923614024e-11,False,False,99.590947,112.39286700000001,73.391964,285.381088,Lattigo v6.2.0,shared_polynomial_threshold_v8,NATIVE_FLIPGUARD_ARM,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
1,1,595,2,3,heir_generated,heir_generated_lattigo_v8,0.22225984584343159,0.22225983440876007,1.143467151520916e-08,False,False,24.02994,19.677173,0.450686,44.159111,Lattigo v6.2.0,shared_polynomial_threshold_v8,PORTABLE_EXACT,PASS,PAIRED_DIAGNOSTIC_UNSAFE_ARM
