split_seed,dataset_id,model_id,alpha,outcome,candidate_count,safe_count,rejected_count,failed_count,v_cert,v_amb,coverage_rate,oracle_candidate,oracle_mean_total_ms,reference_candidate,reference_mean_total_ms,oracle_speedup_vs_reference,latency_only_candidate,latency_only_status,latency_only_mean_total_ms
1,banknote,linear_poly3,0.25,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,148.0021362244,default__rescale_aware,148.0021362244,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976
1,banknote,linear_poly3,0.5,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,148.0021362244,default__rescale_aware,148.0021362244,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976
1,banknote,linear_poly3,0.75,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,148.0021362244,default__rescale_aware,148.0021362244,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976
1,banknote,linear_poly3,0.9,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,148.0021362244,default__rescale_aware,148.0021362244,1.0,short_chain_3__baseline_non_rescale,REJECTED,90.0702856976
1,banknote,mlp_square_linear_score,0.1,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,default__rescale_aware,258.0284123659,1.3405787982935071,short_chain_3__rescale_aware,REJECTED,84.426547278
1,banknote,mlp_square_linear_score,0.25,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,default__rescale_aware,258.0284123659,1.3405787982935071,short_chain_3__rescale_aware,REJECTED,84.426547278
1,banknote,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,default__rescale_aware,258.0284123659,1.3405787982935071,short_chain_3__rescale_aware,REJECTED,84.426547278
1,banknote,mlp_square_linear_score,0.75,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,default__rescale_aware,258.0284123659,1.3405787982935071,short_chain_3__rescale_aware,REJECTED,84.426547278
1,banknote,mlp_square_linear_score,0.9,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,192.4753790634,default__rescale_aware,258.0284123659,1.3405787982935071,short_chain_3__rescale_aware,REJECTED,84.426547278
1,digits_binary,linear_poly3,0.1,SELECTED,22,12,8,2,266,4,0.9851851851851852,default__rescale_aware,249.5076526852,default__rescale_aware,249.5076526852,1.0,short_chain_3__baseline_non_rescale,REJECTED,141.3164327667
1,digits_binary,linear_poly3,0.25,SELECTED,22,12,8,2,266,4,0.9851851851851852,default__rescale_aware,249.5076526852,default__rescale_aware,249.5076526852,1.0,short_chain_3__baseline_non_rescale,REJECTED,141.3164327667
1,digits_binary,linear_poly3,0.5,SELECTED,22,12,8,2,266,4,0.9851851851851852,default__rescale_aware,249.5076526852,default__rescale_aware,249.5076526852,1.0,short_chain_3__baseline_non_rescale,REJECTED,141.3164327667
1,digits_binary,linear_poly3,0.75,SELECTED,22,12,8,2,266,4,0.9851851851851852,default__rescale_aware,249.5076526852,default__rescale_aware,249.5076526852,1.0,short_chain_3__baseline_non_rescale,REJECTED,141.3164327667
1,digits_binary,linear_poly3,0.9,SELECTED,22,12,8,2,266,4,0.9851851851851852,default__rescale_aware,249.5076526852,default__rescale_aware,249.5076526852,1.0,short_chain_3__baseline_non_rescale,REJECTED,141.3164327667
