population,split_seed,dataset_id,model_id,stage,candidate_id,status,margin,absolute_error,margin_utilization_ratio,margin_utilization_cap,reserved_margin_fraction,operational_acceptance_budget,observed_decision_preserved,reserve_policy_pass,policy_reject_without_flip,minimum_cap_required,decision_flips,error_violations,observation_binding,source_sha256
confirmatory_seeds1_4,1,banknote,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_87eb4549e3bd,SAFE,0.012219452991614865,0.0009950582717956902,0.022837093028020426,0.5,0.5,0.006109726495807433,True,True,False,0.022837093028020426,0,0,aggregate_extrema_not_sample_bound,sha256:b7b4b9fd34ba29d672cf95ae7724c45acdc336c27003101378e05aedafacccc3
confirmatory_seeds1_4,1,digits_binary,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_b766b1f184e7,SAFE,0.0010907862649077171,0.0052167845943599245,0.11486926644601193,0.5,0.5,0.0005453931324538586,True,True,False,0.11486926644601193,0,0,aggregate_extrema_not_sample_bound,sha256:2e38da59ca83d7d861d6dd079fc6ce11a8e08a7600e23ac6a10f4047b62b5060
confirmatory_seeds1_4,1,digits_binary,linear_poly3,locked_audit,synth_repair_scale_1_rescale_N13_Q7_S24_b766b1f184e7,SAFE,0.0011916635586125546,0.004555242795973524,0.14922269523363182,0.5,0.5,0.0005958317793062773,True,True,False,0.14922269523363182,0,0,aggregate_extrema_not_sample_bound,sha256:271c3570952d3f63ba97406ca1a0659b5c12bd08e8b6726afbf46cbbfe3ab842
confirmatory_seeds1_4,1,digits_binary,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_d5a26d9ac7cc,SAFE,0.0010321653256446517,8.02397700245816e-05,0.03325097087582352,0.5,0.5,0.0005160826628223258,True,True,False,0.03325097087582352,0,0,aggregate_extrema_not_sample_bound,sha256:92805e21b853a64d170339697ccde251ff01f4d0ea4deef62c8c8f1a5754c5b7
confirmatory_seeds1_4,1,digits_binary,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_d5a26d9ac7cc,SAFE,0.0010817967078887714,7.871647297663653e-05,0.03507953760372193,0.5,0.5,0.0005408983539443857,True,True,False,0.03507953760372193,0,0,aggregate_extrema_not_sample_bound,sha256:0e2978f98d113b05c3ac43c6c74dd1ef7bf044d27c4e9f5796d42fe12aee9076
confirmatory_seeds1_4,1,iris_binary,linear_poly3,configuration_validation,synth_analysis_minimum_rescale_N13_Q7_S20_d2d0b13c1583,SAFE,0.09405884955301358,0.015446512713610028,0.1361890632331821,0.5,0.5,0.04702942477650679,True,True,False,0.1361890632331821,0,0,aggregate_extrema_not_sample_bound,sha256:f64c47a80bbcd70eb47ae9a7192e073591eda08c49d06154c0f10b5efa786e67
confirmatory_seeds1_4,1,iris_binary,linear_poly3,locked_audit,synth_analysis_minimum_rescale_N13_Q7_S20_d2d0b13c1583,SAFE,0.054808789627047605,0.014914768883700469,0.27212366821434375,0.5,0.5,0.027404394813523802,True,True,False,0.27212366821434375,0,0,aggregate_extrema_not_sample_bound,sha256:c381089b81582f593f987e05e3415bbaa06e5b483ab6ae6fa224a2bd940672df
confirmatory_seeds1_4,1,iris_binary,mlp_square_linear_score,configuration_validation,synth_analysis_minimum_rescale_N13_Q6_S20_a26fec41a3b2,SAFE,0.06930386021944213,0.0004298688066924905,0.006202667576255694,0.5,0.5,0.03465193010972106,True,True,False,0.006202667576255694,0,0,aggregate_extrema_not_sample_bound,sha256:6001f7111d0c4624e34b79111ffe432c96642006134984288ec6d0468561ef22
confirmatory_seeds1_4,1,iris_binary,mlp_square_linear_score,locked_audit,synth_analysis_minimum_rescale_N13_Q6_S20_a26fec41a3b2,SAFE,0.07555020622529346,0.0004985569876383433,0.0044470095045371395,0.5,0.5,0.03777510311264673,True,True,False,0.0044470095045371395,0,0,aggregate_extrema_not_sample_bound,sha256:97de413d9e84b6cb7191944d9a3bae1c049f68cabe8c931538df31838f1d9263
confirmatory_seeds1_4,1,mnist_pool16,linear_poly3,configuration_validation,synth_repair_scale_1_rescale_N13_Q7_S24_fe527e522ab1,SAFE,0.0011868140183747822,0.005964700452205762,0.11367563333547813,0.5,0.5,0.0005934070091873911,True,True,False,0.11367563333547813,0,0,aggregate_extrema_not_sample_bound,sha256:740a4d4260cd7aba80c7627f7c0e7d6448cebdf54c266181b7bb780368f53063
