run_id,split_seed,dataset_id,model_id,workload_id,status,outcome,trials_used,encrypted_key_runs,selected_candidate_id,selected_trial_status,selected_assurance,log_n,q_prime_count,p_prime_count,log_default_scale,declared_log_qp,security_headroom_bits,analysis_scale_bits,backend_scale_lift_bits,backend_validation_attempts,same_tier_precision_gain_bits,same_tier_static_candidates_tried,generation_kind,key_repeats_requested,key_repeats_completed,success_runs,decision_flips,error_violations,max_observed_error,v_cert,v_amb,mean_total_ms,median_total_ms,p95_total_ms,contract_digest,model_sha256,validation_sha256,result_path
full_floor18_keys3,2,banknote,linear_poly3,split_seed_2/banknote/linear_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N13_Q7_S24_77b6cebc7ed5,SAFE,OBSERVED_VALIDATION,13,7,1,24,201,16,24,0,1,0,1,repair_scale_1,3,3,3,0,0,0.007692097860830971,205,0,89.50809298373981,85.326382,116.839095,sha256:77b6cebc7ed5494c7965c1e89db6e6f96dfc54fc7705d5e5dd5470c33f4d2c87,sha256:d14e8e810a9b5b2b945f57cf8f53e4e12ee3b87a118262ba9cb796410c0083a4,sha256:7b277493e2ddd6eec8b74cd9c09134d11a68d0ee85fa9d79b1c8a5b6955ecb09,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_banknote_linear_poly3.json
full_floor18_keys3,2,banknote,mlp_square_linear_score,split_seed_2/banknote/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_0a7f04d55af9,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.0004711365381197541,205,0,133.42226755934962,127.090238,174.587308,sha256:0a7f04d55af9ce804c43fffeb4508aa454fddf0784e105ed6f1f9029300bdca5,sha256:4f8ce6d8ca23d87fc4d3623b97f235f3836ca4c0964286f4a1c634427e1d8e31,sha256:60026cef7fd567d132a83308915b59b70b3493ff0abaca3da4a556aa5176d83d,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_banknote_mlp_square_linear_score.json
full_floor18_keys3,2,digits_binary,linear_poly3,split_seed_2/digits_binary/linear_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N13_Q7_S24_24fcbcea0c1f,SAFE,OBSERVED_VALIDATION,13,7,1,24,201,16,24,0,1,0,1,repair_scale_1,3,3,3,0,0,0.0040373651630054574,263,7,129.20809461111105,122.880152,171.315782,sha256:24fcbcea0c1f5f4439df3ac613fa7ad37200fd4a5ef6f5af5dcdf46149f8af46,sha256:4732af06a200e574b79412c23f8a91a98989217b2dc0ffb6e5f48ddd4e9caa36,sha256:6e017e474d82682e11d9429192ef206bfa022e70ad038dd7e6a8c3706609a64a,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_digits_binary_linear_poly3.json
full_floor18_keys3,2,digits_binary,mlp_square_linear_score,split_seed_2/digits_binary/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_75879362be96,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.00011097308564345099,249,21,176.6746916629632,168.144787,236.440924,sha256:75879362be961b35c5e4ef212d1aa7949775ec0cba5905a291b89cc0eab61fe7,sha256:025eb7dea28322d4b60adcfff3b1ff48c3fb44aa57280d39eea813405a6561d5,sha256:fd3581e95f8aaaa939e0317baf4b49bd0d73ade44e4c73438a69ac3b209f24e2,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_digits_binary_mlp_square_linear_score.json
full_floor18_keys3,2,iris_binary,linear_poly3,split_seed_2/iris_binary/linear_poly3,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q7_S20_b10765d6500e,SAFE,OBSERVED_VALIDATION,13,7,1,20,173,44,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.015710686791857054,14,0,86.36436923809522,82.383515,104.158077,sha256:b10765d6500eb092aacc04548ad1facd697d414bb9b0a6c0085e44acf4b15ca3,sha256:9d4cf49eb8f29c382a891665f15e69859f5d1419a4ae18552a3490fc78ec0ed1,sha256:5c8a4e7264996c7f4209076fc38e85215135c8e2ebdde8069d900ed759e90346,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_iris_binary_linear_poly3.json
full_floor18_keys3,2,iris_binary,mlp_square_linear_score,split_seed_2/iris_binary/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_125eaf89ec9a,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.00016753926035351085,14,0,135.22600809523814,125.32761,167.644714,sha256:125eaf89ec9a212d02bc544c6efcdc2be09123b7deed655220e59afbb23334c9,sha256:177371ecf4239a1072c5b451b94e492d80cc143b260f1ee0383783bb838eadeb,sha256:718ca8ef31336b4301f780c65a1f15152483a35ac6779832144b80642ada06a7,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_iris_binary_mlp_square_linear_score.json
full_floor18_keys3,2,mnist_pool16,linear_poly3,split_seed_2/mnist_pool16/linear_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N13_Q7_S24_4df9265b02c0,SAFE,OBSERVED_VALIDATION,13,7,1,24,201,16,24,0,1,0,1,repair_scale_1,3,3,3,0,0,0.0067119990513530015,242,7,215.0572504551537,200.630516,306.596026,sha256:4df9265b02c098834455931bb995ca146691778f58f9a2f2cb824fd59790644e,sha256:afd5351d9b781a1fad2db90dc7bca0052521a41efd7694c0ade20974824dcb4e,sha256:612965f07387ec520524c47b4628f174fd9c43234c15d0ea95c86a60b3837a73,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_mnist_pool16_linear_poly3.json
full_floor18_keys3,2,mnist_pool16,mlp_square_linear_score,split_seed_2/mnist_pool16/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_a1a2f8ac0526,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.00016501093415238755,246,3,253.48495272423025,239.600899,338.720311,sha256:a1a2f8ac0526babaf643de99a667f3c4a08f2a3d4ae44f8f17d1330514352ff3,sha256:edb34de653b4d4b756b3e497b1edc448b941926d02b32f3d93817db66bde9b78,sha256:e617ab0e7f4d05fbebea25dd475f9fdcf2145404367bbf43d3012141d1f48129,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_mnist_pool16_mlp_square_linear_score.json
full_floor18_keys3,2,wdbc,linear_poly3,split_seed_2/wdbc/linear_poly3,ok,SELECTED,2,6,synth_repair_scale_1_rescale_N13_Q7_S24_0e8dd22d71bf,SAFE,OBSERVED_VALIDATION,13,7,1,24,201,16,24,0,1,0,1,repair_scale_1,3,3,3,0,0,0.008889786789531728,84,1,129.71871435294122,123.192022,174.454453,sha256:0e8dd22d71bf07aefd5a7cf5838b08001e6dcded10436684028341a161e2cd9b,sha256:50d82e12fc96b3084084fba4f370487f7a20d16371905c21d7cb024f9e07f759,sha256:cc9fe6aed90d078633e7c6f40f4d73656466cd6504a37055f57c6c8a461c1d87,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_wdbc_linear_poly3.json
full_floor18_keys3,2,wdbc,mlp_square_linear_score,split_seed_2/wdbc/mlp_square_linear_score,ok,SELECTED,1,3,synth_analysis_minimum_rescale_N13_Q6_S20_1893fb70e490,SAFE,OBSERVED_VALIDATION,13,6,1,20,153,64,18,2,3,0,1,analysis_minimum,3,3,3,0,0,0.0011073325667461942,82,3,170.41404240784317,164.324468,224.234518,sha256:1893fb70e490788783b8647053db7564bac87b61c1dc679557ed7312ef0758f6,sha256:1893e664ba828fbeadfbd122a679d67b16824b736017e531d84aa3401d3752b4,sha256:9f6831f221724178f42d128e96b6aee5c7cc6862d16ebb703355ef81dd1b4415,results/thesis_grade_protocol/direct_tabular_autotune_v1/full_floor18_keys3/results/directv1_full_floor18_keys3_seed2_wdbc_mlp_square_linear_score.json
