split_seed,dataset_id,model_id,alpha,catalog_outcome,catalog_candidate_count,catalog_safe_count,catalog_rejected_count,catalog_failed_count,v_cert,v_amb,coverage_rate,catalog_oracle_candidate,catalog_oracle_mean_total_ms,reference_candidate,reference_mean_total_ms,latency_only_candidate,latency_only_status,latency_only_mean_total_ms,direct_outcome,direct_candidate,direct_contract_digest,direct_log_n,direct_q_prime_count,direct_log_default_scale,direct_trials,direct_key_runs,direct_mean_total_ms,diagnostic_speedup_vs_catalog,diagnostic_bounded_regret,latency_evidence
2,banknote,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale42__baseline_non_rescale,187.330103034,default__rescale_aware,229.4083946439,short_chain_3__rescale_aware,REJECTED,85.0740238634,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_0a7f04d55af9,sha256:0a7f04d55af9ce804c43fffeb4508aa454fddf0784e105ed6f1f9029300bdca5,13,6,20,1,3,133.422267559,1.40403926916,-0.287769208481,UNPAIRED_DIAGNOSTIC
2,digits_binary,linear_poly3,0.5,SELECTED,22,12,8,2,263,7,0.9740740740740741,default__rescale_aware,197.727707363,default__rescale_aware,197.727707363,short_chain_3__baseline_non_rescale,REJECTED,118.7437970148,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_24fcbcea0c1f,sha256:24fcbcea0c1f5f4439df3ac613fa7ad37200fd4a5ef6f5af5dcdf46149f8af46,13,7,24,2,6,129.208094611,1.53030433548,-0.346535210799,UNPAIRED_DIAGNOSTIC
2,digits_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,249,21,0.9222222222222223,short_chain_6_scale40__baseline_non_rescale,251.805537141,default__rescale_aware,301.443069863,short_chain_3__rescale_aware,REJECTED,124.4345761148,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_75879362be96,sha256:75879362be961b35c5e4ef212d1aa7949775ec0cba5905a291b89cc0eab61fe7,13,6,20,1,3,176.674691663,1.42524961991,-0.298368520132,UNPAIRED_DIAGNOSTIC
2,iris_binary,linear_poly3,0.5,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,131.023261786,default__rescale_aware,131.0232617857,short_chain_3__baseline_non_rescale,REJECTED,104.9067321429,SELECTED,synth_analysis_minimum_rescale_N13_Q7_S20_b10765d6500e,sha256:b10765d6500eb092aacc04548ad1facd697d414bb9b0a6c0085e44acf4b15ca3,13,7,20,1,3,86.3643692381,1.51709857829,-0.340847052187,UNPAIRED_DIAGNOSTIC
2,iris_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,189.809040571,default__rescale_aware,233.7743973571,short_chain_3__rescale_aware,REJECTED,97.5711895714,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_125eaf89ec9a,sha256:125eaf89ec9a212d02bc544c6efcdc2be09123b7deed655220e59afbb23334c9,13,6,20,1,3,135.226008095,1.40364300659,-0.287568138545,UNPAIRED_DIAGNOSTIC
2,mnist_pool16,linear_poly3,0.5,SELECTED,22,12,8,2,242,7,0.9718875502008032,default__rescale_aware,332.972141161,default__rescale_aware,332.9721411606,short_chain_3__baseline_non_rescale,REJECTED,188.8850890602,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_4df9265b02c0,sha256:4df9265b02c098834455931bb995ca146691778f58f9a2f2cb824fd59790644e,13,7,24,2,6,215.057250455,1.54829535138,-0.354128397332,UNPAIRED_DIAGNOSTIC
2,mnist_pool16,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,246,3,0.9879518072289156,short_chain_6_scale38__baseline_non_rescale,381.042033382,default__rescale_aware,445.029978241,short_chain_3__rescale_aware,REJECTED,196.88118649,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_a1a2f8ac0526,sha256:a1a2f8ac0526babaf643de99a667f3c4a08f2a3d4ae44f8f17d1330514352ff3,13,6,20,1,3,253.484952724,1.50321361993,-0.334758555441,UNPAIRED_DIAGNOSTIC
2,wdbc,linear_poly3,0.5,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,197.601543118,default__rescale_aware,197.6015431176,short_chain_3__baseline_non_rescale,REJECTED,119.5765072235,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_0e8dd22d71bf,sha256:0e8dd22d71bf07aefd5a7cf5838b08001e6dcded10436684028341a161e2cd9b,13,7,24,2,6,129.718714353,1.5233079059,-0.343533900058,UNPAIRED_DIAGNOSTIC
2,wdbc,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,82,3,0.9647058823529412,short_chain_6_scale38__baseline_non_rescale,252.507658541,default__rescale_aware,299.2420103529,short_chain_3__rescale_aware,REJECTED,119.4308515647,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_1893fb70e490,sha256:1893fb70e490788783b8647053db7564bac87b61c1dc679557ed7312ef0758f6,13,6,20,1,3,170.414042408,1.48173034906,-0.325113371244,UNPAIRED_DIAGNOSTIC
3,banknote,linear_poly3,0.5,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,135.248890346,default__rescale_aware,135.2488903463,short_chain_3__baseline_non_rescale,REJECTED,88.8532906,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_52f43f9afafa,sha256:52f43f9afafa289e7d3309c1dfb1b308d62c62021515fe37c0dc0308aff61f08,13,7,24,2,6,85.7013498049,1.57814189221,-0.366343416309,UNPAIRED_DIAGNOSTIC
3,banknote,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale42__baseline_non_rescale,196.383041361,default__rescale_aware,236.2722332,short_chain_3__rescale_aware,REJECTED,86.6319519415,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_d403feb5824c,sha256:d403feb5824cc4a5347b8f058947886b0e1f379595fc5b7394eeac04bee0776d,13,6,20,1,3,128.101382306,1.53302827672,-0.347696311159,UNPAIRED_DIAGNOSTIC
3,digits_binary,linear_poly3,0.5,SELECTED,22,12,8,2,266,4,0.9851851851851852,default__rescale_aware,206.3231772,default__rescale_aware,206.3231772,short_chain_3__baseline_non_rescale,REJECTED,125.5101120852,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_b7caada3de51,sha256:b7caada3de5167aae3e533a7dd36e5fda46b48e4e67445f78e7687e602327727,13,7,24,2,6,141.472554875,1.458397195,-0.314315740988,UNPAIRED_DIAGNOSTIC
3,digits_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,254,16,0.9407407407407408,short_chain_6_scale42__baseline_non_rescale,260.348815078,default__rescale_aware,311.0974048444,short_chain_3__rescale_aware,REJECTED,125.3429702963,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_bbfdc7e5ffb9,sha256:bbfdc7e5ffb952c4229b89ee17bd6fc690bbe837bfd1c987f7c2395d697fa37f,13,6,20,1,3,184.566752722,1.41059433098,-0.291078960098,UNPAIRED_DIAGNOSTIC
3,iris_binary,linear_poly3,0.5,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,146.914560786,default__rescale_aware,146.9145607857,short_chain_3__baseline_non_rescale,REJECTED,104.1835099286,SELECTED,synth_analysis_minimum_rescale_N13_Q7_S20_1245fee766ad,sha256:1245fee766ad1b63a2e50770a1b7bba877c2bac503a624732bb11055b2b22f55,13,7,20,1,3,111.56703369,1.31682770372,-0.240599208861,UNPAIRED_DIAGNOSTIC
3,iris_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,196.3427615,default__rescale_aware,237.2265335714,short_chain_3__rescale_aware,REJECTED,90.7220444286,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_db84d5be9564,sha256:db84d5be956443c33786d64553405cbcd0782a84f4c44e10e5c8e7803a647f79,13,6,20,1,3,138.008344833,1.42268760441,-0.297105002604,UNPAIRED_DIAGNOSTIC
3,mnist_pool16,linear_poly3,0.5,SELECTED,22,12,8,2,243,6,0.9759036144578314,default__rescale_aware,371.195418626,default__rescale_aware,371.1954186265,short_chain_3__baseline_non_rescale,REJECTED,281.3686704819,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_6b95ea1ec75b,sha256:6b95ea1ec75bf51a47e8589f007225173fa77dd53b36d00225abd6a54a5fed75,13,7,24,2,6,246.029790699,1.50874175673,-0.337196047276,UNPAIRED_DIAGNOSTIC
3,mnist_pool16,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,248,1,0.9959839357429718,short_chain_6_scale42__baseline_non_rescale,448.222716522,default__rescale_aware,520.3730718715,short_chain_3__rescale_aware,REJECTED,231.452453249,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_f4d2820335af,sha256:f4d2820335af9612031438032f69a8d588192d080468f0054f1b0e6fec711fca,13,6,20,1,3,293.868414062,1.52524972088,-0.344369655465,UNPAIRED_DIAGNOSTIC
3,wdbc,linear_poly3,0.5,SELECTED,22,12,8,2,84,1,0.9882352941176471,default__rescale_aware,224.610906223,default__rescale_aware,224.6109062235,short_chain_3__baseline_non_rescale,REJECTED,143.3701452,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_7a9253ddb5f1,sha256:7a9253ddb5f1cfcb4c774f18b7547031f9a25666ac0c194706b47127e2055747,13,7,24,2,6,146.264644667,1.53564729696,-0.348808803963,UNPAIRED_DIAGNOSTIC
3,wdbc,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,81,4,0.9529411764705882,short_chain_6_scale38__baseline_non_rescale,295.291588565,default__rescale_aware,348.6040443765,short_chain_3__rescale_aware,REJECTED,148.4085936588,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_85d1a36f9370,sha256:85d1a36f93703e819438f27b4a47adf39b04c959de8aa25c010ec702d2b0430d,13,6,20,1,3,203.755922961,1.44924174117,-0.309983992598,UNPAIRED_DIAGNOSTIC
4,banknote,linear_poly3,0.5,SELECTED,22,12,8,2,205,0,1.0,default__rescale_aware,156.66560539,default__rescale_aware,156.6656053902,short_chain_3__baseline_non_rescale,REJECTED,105.737973478,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_5b03bef84ce4,sha256:5b03bef84ce49b1f4b2ea932092920e2c261093d68f5640cea1cc9f43d39fb30,13,7,24,2,6,106.279712343,1.47408759335,-0.321614261928,UNPAIRED_DIAGNOSTIC
4,banknote,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,205,0,1.0,short_chain_6_scale38__baseline_non_rescale,223.386671078,default__rescale_aware,267.3193930341,short_chain_3__rescale_aware,REJECTED,102.2445515756,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_5181717725fd,sha256:5181717725fd5660732aa060a5b857f2225a8d939afcbc65f9cbb34d14379301,13,6,20,1,3,158.668636367,1.40788170991,-0.289713054043,UNPAIRED_DIAGNOSTIC
4,digits_binary,linear_poly3,0.5,SELECTED,22,12,8,2,264,6,0.9777777777777777,default__rescale_aware,229.766733018,default__rescale_aware,229.7667330185,short_chain_3__baseline_non_rescale,REJECTED,144.4406609407,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_1a5f9eb0573f,sha256:1a5f9eb0573fe29863505d901ba9a5b2c54dc7db1ff818102c6b6753ca8a9b46,13,7,24,2,6,167.490417554,1.37182016962,-0.271041480401,UNPAIRED_DIAGNOSTIC
4,digits_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,248,22,0.9185185185185185,short_chain_6_scale42__baseline_non_rescale,299.061785467,default__rescale_aware,352.3481495815,short_chain_3__rescale_aware,REJECTED,141.7705267778,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_0a724afc6c22,sha256:0a724afc6c220232dca04222167e8d673cd1c3f990c4c26d609a02a8656f5513,13,6,20,1,3,193.915889733,1.54222423896,-0.35158586233,UNPAIRED_DIAGNOSTIC
4,iris_binary,linear_poly3,0.5,SELECTED,22,12,8,2,14,0,1.0,default__rescale_aware,176.885295357,default__rescale_aware,176.8852953571,short_chain_3__baseline_non_rescale,REJECTED,105.2548150714,SELECTED,synth_analysis_minimum_rescale_N13_Q7_S20_6620abbbb624,sha256:6620abbbb6247d8bb5fdd57b42ac607e4bed6ec9dd10635c65ca1b7ca318bd49,13,7,20,1,3,75.272162119,2.34994306497,-0.574457775209,UNPAIRED_DIAGNOSTIC
4,iris_binary,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,14,0,1.0,short_chain_6_scale40__baseline_non_rescale,219.669360786,default__rescale_aware,281.7057264286,short_chain_3__rescale_aware,REJECTED,108.3934025,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_410391a92584,sha256:410391a925846337eacde00aa72654951f9dc290c81bb7252e98e4423374513b,13,6,20,1,3,151.542581976,1.44955535217,-0.310133277421,UNPAIRED_DIAGNOSTIC
4,mnist_pool16,linear_poly3,0.5,SELECTED,22,12,8,2,242,7,0.9718875502008032,default__rescale_aware,378.02860753,default__rescale_aware,378.0286075301,short_chain_3__baseline_non_rescale,REJECTED,223.8658427108,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_bb6a1f909bb7,sha256:bb6a1f909bb7b2060c105d9efe293131d6b67099ab19c3f2d36c972ab334cf77,13,7,24,2,6,205.450567108,1.83999787808,-0.456521112381,UNPAIRED_DIAGNOSTIC
4,mnist_pool16,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,247,2,0.9919678714859438,short_chain_6_scale42__baseline_non_rescale,448.894438305,default__rescale_aware,517.8709955582,short_chain_3__rescale_aware,REJECTED,232.687170988,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_fc30b5ace58f,sha256:fc30b5ace58fe20165a6648cbc19f5a1669ed3d76758b083faffe05ef8021ae1,13,6,20,1,3,238.147492102,1.88494295843,-0.469479967271,UNPAIRED_DIAGNOSTIC
4,wdbc,linear_poly3,0.5,SELECTED,22,12,8,2,83,2,0.9764705882352941,default__rescale_aware,231.938905859,default__rescale_aware,231.9389058588,short_chain_3__baseline_non_rescale,REJECTED,148.1323927882,SELECTED,synth_repair_scale_1_rescale_N13_Q7_S24_d84de52a7b18,sha256:d84de52a7b18d138a9c86c0f569bda9886e3006473328367307de8b31e286758,13,7,24,2,6,123.048373263,1.88494085463,-0.469479375152,UNPAIRED_DIAGNOSTIC
4,wdbc,mlp_square_linear_score,0.5,SELECTED,22,18,4,0,83,2,0.9764705882352941,short_chain_6_scale40__baseline_non_rescale,302.981660506,default__rescale_aware,354.4139126941,short_chain_3__rescale_aware,REJECTED,151.4277844,SELECTED,synth_analysis_minimum_rescale_N13_Q6_S20_53fdc19676be,sha256:53fdc19676be2ece0a157c069c96090968757f8fd46db2b8bb4fb7f00023f3a1,13,6,20,1,3,167.554495561,1.8082574239,-0.44698139392,UNPAIRED_DIAGNOSTIC
