split_seed,dataset_id,model_id,candidate_id,profile,path,evaluation_mode,alpha,certificate_status,run_status,exit_code,sample_count,v_cert,v_amb,coverage_rate,margin_floor,decision_flips_v_cert,error_violations_v_cert,max_y_error_v_cert,mean_total_ms,median_total_ms,p95_total_ms,mean_eval_only_ms,run_tag
2,banknote,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,205,205,0,1.0,0.001,91,205,0.6212435602,85.0740238634,82.832,98.9029904,51.0807779902,thesisv1_full_seed2_banknote_mlp_square_linear_score_short_chain_3_rescale_aware
2,digits_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,270,263,7,0.9740740740740741,0.001,123,263,0.5896236558,118.7437970148,116.958797,132.98645945,23.4869468333,thesisv1_full_seed2_digits_binary_linear_poly3_short_chain_3_baseline_non_rescale
2,digits_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,270,263,7,0.9740740740740741,0.001,,,,,,,,thesisv1_full_seed2_digits_binary_linear_poly3_short_chain_3_rescale_aware
2,digits_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,270,249,21,0.9222222222222223,0.001,126,249,0.5825953151,149.5566413111,147.672019,162.5028296,53.3606324852,thesisv1_full_seed2_digits_binary_mlp_square_linear_score_short_chain_3_baseline_non_rescale
2,digits_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,270,249,21,0.9222222222222223,0.001,126,249,0.5825953151,124.4345761148,119.570073,143.86320305,58.6387744037,thesisv1_full_seed2_digits_binary_mlp_square_linear_score_short_chain_3_rescale_aware
2,iris_binary,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6450800057,104.9067321429,84.2168725,195.3462582,25.134838,thesisv1_full_seed2_iris_binary_linear_poly3_short_chain_3_baseline_non_rescale
2,iris_binary,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,14,14,0,1.0,0.001,,,,,,,,thesisv1_full_seed2_iris_binary_linear_poly3_short_chain_3_rescale_aware
2,iris_binary,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6450108229,112.7760071429,113.058283,120.35441545,47.0188385714,thesisv1_full_seed2_iris_binary_mlp_square_linear_score_short_chain_3_baseline_non_rescale
2,iris_binary,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,14,14,0,1.0,0.001,7,14,0.6450108229,97.5711895714,82.3824465,158.8482652,57.5809072143,thesisv1_full_seed2_iris_binary_mlp_square_linear_score_short_chain_3_rescale_aware
2,mnist_pool16,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,249,242,7,0.9718875502008032,0.001,116,242,0.6513874219,188.8850890602,184.517428,205.1893412,27.1545970803,thesisv1_full_seed2_mnist_pool16_linear_poly3_short_chain_3_baseline_non_rescale
2,mnist_pool16,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,249,242,7,0.9718875502008032,0.001,,,,,,,,thesisv1_full_seed2_mnist_pool16_linear_poly3_short_chain_3_rescale_aware
2,mnist_pool16,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,249,246,3,0.9879518072289156,0.001,115,246,0.6119741272,225.489531755,221.474554,243.8525634,64.7210359036,thesisv1_full_seed2_mnist_pool16_mlp_square_linear_score_short_chain_3_baseline_non_rescale
2,mnist_pool16,mlp_square_linear_score,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,REJECTED,ok,0,249,246,3,0.9879518072289156,0.001,115,246,0.6119741272,196.88118649,191.758011,222.6497746,68.7152382892,thesisv1_full_seed2_mnist_pool16_mlp_square_linear_score_short_chain_3_rescale_aware
2,wdbc,linear_poly3,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,85,84,1,0.9882352941176471,0.001,55,84,0.585054703,119.5765072235,117.679367,131.7097932,23.0127649176,thesisv1_full_seed2_wdbc_linear_poly3_short_chain_3_baseline_non_rescale
2,wdbc,linear_poly3,short_chain_3__rescale_aware,short_chain_3,rescale_aware,rescale,0.5,FAILED,failed,1,85,84,1,0.9882352941176471,0.001,,,,,,,,thesisv1_full_seed2_wdbc_linear_poly3_short_chain_3_rescale_aware
2,wdbc,mlp_square_linear_score,short_chain_3__baseline_non_rescale,short_chain_3,baseline_non_rescale,naive,0.5,REJECTED,ok,0,85,82,3,0.9647058823529412,0.001,51,81,0.513300305,152.2772472941,147.626953,170.7190616,54.3899241059,thesisv1_full_seed2_wdbc_mlp_square_linear_score_short_chain_3_baseline_non_rescale
