pair_id,sample_id,source_index,label,repetitions,geometric_mean_total_ratio,geometric_mean_eval_ratio
graph_only_over_gap_aware,mnist_64750,64750,8,18,1.0129561479405849,1.0152425095632565
graph_only_over_gap_aware,mnist_69116,69116,8,18,0.9973533085344205,0.9982076530676319
graph_only_over_gap_aware,mnist_68084,68084,9,18,0.9928946932004,0.9918475343500288
graph_only_over_gap_aware,mnist_62769,62769,9,18,1.002202725378874,1.0038410653842118
graph_only_over_gap_aware,mnist_64016,64016,9,18,1.0010040470162882,1.0000104777940957
graph_only_over_gap_aware,mnist_61553,61553,9,18,1.0101732929581642,1.0082234131094017
graph_only_over_gap_aware,mnist_61255,61255,9,18,1.0069182748886536,1.0092396103664887
graph_only_over_gap_aware,mnist_65856,65856,9,18,1.0072025409723329,1.010888148078294
graph_only_over_gap_aware,mnist_67107,67107,9,18,1.002641474652983,1.0002305774369014
graph_only_over_gap_aware,mnist_66747,66747,9,18,1.0018610049248495,1.0024726357856057
graph_only_over_gap_aware,mnist_64224,64224,9,18,0.9992899970005669,0.9987428743048854
graph_only_over_gap_aware,mnist_62341,62341,9,18,1.0011373434962905,1.004088705568291
catalog_over_gap_aware,mnist_62106,62106,0,18,1.9889991903463728,1.9481913775954736
catalog_over_gap_aware,mnist_66351,66351,0,18,1.9786842967822489,1.925222096271153
catalog_over_gap_aware,mnist_66437,66437,0,18,2.004608224624797,1.9633465611832481
catalog_over_gap_aware,mnist_66072,66072,0,18,1.9838005195216581,1.939996016842047
catalog_over_gap_aware,mnist_63315,63315,0,18,1.9936792358434692,1.9451932356927342
catalog_over_gap_aware,mnist_65653,65653,0,18,1.9874205502628897,1.9398803720363413
catalog_over_gap_aware,mnist_65567,65567,0,18,1.9915759177103836,1.9507352537490337
catalog_over_gap_aware,mnist_69850,69850,0,18,1.9678589687582622,1.918361668969573
catalog_over_gap_aware,mnist_62236,62236,0,18,1.992609049258202,1.9515051733370807
catalog_over_gap_aware,mnist_65952,65952,0,18,2.003738777882341,1.9468401550719339
catalog_over_gap_aware,mnist_69180,69180,1,18,1.9899206034033934,1.9482498069268726
catalog_over_gap_aware,mnist_64588,64588,1,18,1.98107567433806,1.9350314708847673
catalog_over_gap_aware,mnist_68469,68469,1,18,1.9797272835126318,1.9374832961879447
catalog_over_gap_aware,mnist_65839,65839,1,18,1.9981747503339122,1.9561579169284098
catalog_over_gap_aware,mnist_64606,64606,1,18,1.9883997451068098,1.9453204511118727
catalog_over_gap_aware,mnist_61075,61075,1,18,1.9658796752469456,1.9281136550764866
catalog_over_gap_aware,mnist_60168,60168,1,18,1.9854996649101995,1.9422454330415289
catalog_over_gap_aware,mnist_69682,69682,1,18,1.994119442651341,1.9487579078379327
catalog_over_gap_aware,mnist_62411,62411,1,18,1.9548261535304257,1.9436093156432406
catalog_over_gap_aware,mnist_61885,61885,1,18,1.99438509577657,1.950671704060163
catalog_over_gap_aware,mnist_68800,68800,2,18,1.9787241046886521,1.9404330201748787
catalog_over_gap_aware,mnist_64205,64205,2,18,1.9751658063854929,1.9257021716631728
catalog_over_gap_aware,mnist_65723,65723,2,18,1.953981292964654,1.9039923888034682
catalog_over_gap_aware,mnist_67229,67229,2,18,1.9824509789084883,1.9359286510955573
catalog_over_gap_aware,mnist_67492,67492,2,18,1.9766585830238836,1.9315773528483668
catalog_over_gap_aware,mnist_67156,67156,2,18,1.994670665654022,1.9462772410569156
catalog_over_gap_aware,mnist_60199,60199,2,18,2.000922601734271,1.95051339240997
catalog_over_gap_aware,mnist_65308,65308,2,18,1.9896088085211656,1.9438334157970971
catalog_over_gap_aware,mnist_67345,67345,2,18,1.9760228579182229,1.9406010488124668
