population,split_seed,dataset_id,model_id,workload_id,direct_candidate_id,catalog_candidate_id,catalog_over_direct_total_ratio,catalog_over_direct_eval_only_ratio,paired_raw_observations
confirmatory_seeds1_4,3,iris_binary,mlp_square_linear_score,split_seed_3/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_207988c02d8a,short_chain_6_scale40__baseline_non_rescale,1.8679315146753583,1.4210744879448671,36
confirmatory_seeds1_4,3,mnist_pool16,linear_poly3,split_seed_3/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_c0a75243c434,deep_chain_8_scale45__rescale_aware,4.824864299054827,4.135801869014877,36
confirmatory_seeds1_4,3,mnist_pool16,mlp_square_linear_score,split_seed_3/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_615f05f131da,short_chain_6_scale42__baseline_non_rescale,1.9580082780551291,1.5305312495293926,36
confirmatory_seeds1_4,3,wdbc,linear_poly3,split_seed_3/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_862b7b7caaa4,deep_chain_8_scale45__rescale_aware,5.16934749540706,4.342201421629257,36
confirmatory_seeds1_4,3,wdbc,mlp_square_linear_score,split_seed_3/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_452d20eed652,short_chain_6_scale38__baseline_non_rescale,1.9848978432880795,1.5072322917843037,36
confirmatory_seeds1_4,4,banknote,linear_poly3,split_seed_4/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_e80473fbb570,deep_chain_8_scale45__rescale_aware,5.405281588856681,5.041868958580853,36
confirmatory_seeds1_4,4,banknote,mlp_square_linear_score,split_seed_4/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_0bd8533b1127,short_chain_6_scale38__baseline_non_rescale,1.9805414616508554,1.541715992433978,36
confirmatory_seeds1_4,4,digits_binary,linear_poly3,split_seed_4/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_6fa2713d3e0a,deep_chain_8_scale45__rescale_aware,4.956406010944828,4.459711900546994,36
confirmatory_seeds1_4,4,digits_binary,mlp_square_linear_score,split_seed_4/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_d7df5358bf41,short_chain_6_scale42__baseline_non_rescale,1.9911350815304332,1.5939837712021203,36
confirmatory_seeds1_4,4,iris_binary,linear_poly3,split_seed_4/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_157c7f3b52c3,deep_chain_8_scale45__rescale_aware,4.983055110983771,4.3508534505872065,36
confirmatory_seeds1_4,4,iris_binary,mlp_square_linear_score,split_seed_4/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_0b567c0ee21f,short_chain_6_scale40__baseline_non_rescale,1.9408363997825013,1.4920446592072285,36
confirmatory_seeds1_4,4,mnist_pool16,linear_poly3,split_seed_4/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_d2e82633aee4,deep_chain_8_scale45__rescale_aware,4.864445059771666,4.47563433346062,36
confirmatory_seeds1_4,4,mnist_pool16,mlp_square_linear_score,split_seed_4/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_360cb2bcb6ae,short_chain_6_scale42__baseline_non_rescale,2.026305385276854,1.6226832589796063,36
confirmatory_seeds1_4,4,wdbc,linear_poly3,split_seed_4/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_4bbcda4a66ae,deep_chain_8_scale45__rescale_aware,4.878203876532585,4.457662074587255,36
confirmatory_seeds1_4,4,wdbc,mlp_square_linear_score,split_seed_4/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_040942fa820d,short_chain_6_scale40__baseline_non_rescale,1.9913886535421363,1.583653971802381,36
combined_descriptive,0,banknote,linear_poly3,split_seed_0/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_d1ff36e37428,deep_chain_8_scale45__rescale_aware,5.013474295372225,4.504356520009981,36
combined_descriptive,0,banknote,mlp_square_linear_score,split_seed_0/banknote/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_f48255b39c11,short_chain_6_scale40__baseline_non_rescale,1.9160831594100434,1.4587850139283511,36
combined_descriptive,0,digits_binary,linear_poly3,split_seed_0/digits_binary/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_81046dc5ebf3,deep_chain_8_scale45__rescale_aware,4.99220593756354,4.536413407543349,36
combined_descriptive,0,digits_binary,mlp_square_linear_score,split_seed_0/digits_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_391fa6104874,short_chain_6_scale38__rescale_aware,2.049480134606135,1.8020389312938008,36
combined_descriptive,0,iris_binary,linear_poly3,split_seed_0/iris_binary/linear_poly3,synth_analysis_minimum_rescale_N13_Q7_S20_486a1fc2f0d5,deep_chain_8_scale45__rescale_aware,5.171208427615701,4.715799261613747,36
combined_descriptive,0,iris_binary,mlp_square_linear_score,split_seed_0/iris_binary/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_925be61044e9,short_chain_6_scale40__baseline_non_rescale,1.9221940156907582,1.4908678942181792,36
combined_descriptive,0,mnist_pool16,linear_poly3,split_seed_0/mnist_pool16/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_ec91b41756ca,deep_chain_8_scale45__rescale_aware,5.067716275098078,4.361726339552782,36
combined_descriptive,0,mnist_pool16,mlp_square_linear_score,split_seed_0/mnist_pool16/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_2cd04f49f17a,short_chain_6_scale42__baseline_non_rescale,1.9569845909592363,1.6047028488956165,36
combined_descriptive,0,wdbc,linear_poly3,split_seed_0/wdbc/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_4e105abcba07,deep_chain_8_scale45__rescale_aware,4.967161612065418,4.433804330129229,36
combined_descriptive,0,wdbc,mlp_square_linear_score,split_seed_0/wdbc/mlp_square_linear_score,synth_analysis_minimum_rescale_N13_Q6_S20_8f3d79a39ca0,short_chain_6_scale42__baseline_non_rescale,1.974204149322098,1.5153111185800006,36
combined_descriptive,1,banknote,linear_poly3,split_seed_1/banknote/linear_poly3,synth_repair_scale_1_rescale_N13_Q7_S24_851ef4e949b6,deep_chain_8_scale45__rescale_aware,5.374838430515303,4.80513875202313,36
